
time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),
6.400510,-0.5765,0.7486,-0.0977,30.32596667,78.00721500,0.00000000,
6.438429,-0.5785,0.7427,-0.0742,30.32596667,78.00721500,0.00000000,
6.440555,-0.5785,0.7368,-0.0508,30.32596667,78.00721500,0.00000000,
6.478307,-0.5785,0.7270,-0.0312,30.32596667,78.00721500,0.00000000,
6.479977,-0.5804,0.7211,-0.0137,30.32596667,78.00721500,0.00000000,
6.518217,-0.5844,0.7153,-0.0137,30.32596667,78.00721500,0.00000000,
6.519597,-0.5883,0.7114,-0.0293,30.32596667,78.00721500,0.00000000,
6.558668,-0.5941,0.7074,-0.0488,30.32596667,78.00721500,0.00000000,
6.560277,-0.6000,0.7055,-0.0684,30.32596667,78.00721500,0.00000000,
6.598925,-0.6039,0.7114,-0.0879,30.32596667,78.00721500,0.00000000,
6.600481,-0.6058,0.7134,-0.1074,30.32596667,78.00721500,0.00000000,
6.638557,-0.6058,0.7172,-0.1153,30.32596667,78.00721500,0.00000000,
6.640369,-0.6078,0.7211,-0.1172,30.32596667,78.00721500,0.00000000,
6.678373,-0.6058,0.7270,-0.1172,30.32596667,78.00721500,0.00000000,
6.679927,-0.6019,0.7290,-0.1113,30.32596667,78.00721500,0.00000000,
6.718535,-0.6019,0.7290,-0.1055,30.32596667,78.00721500,0.00000000,
6.720602,-0.6019,0.7329,-0.0859,30.32596667,78.00721500,0.00000000,
6.758473,-0.6019,0.7388,-0.0645,30.32596667,78.00721500,0.00000000,
6.760185,-0.6039,0.7446,-0.0566,30.32596667,78.00721500,0.00000000,
6.798057,-0.6058,0.7486,-0.0410,30.32596667,78.00721500,0.00000000,
6.800105,-0.6058,0.7544,-0.0254,30.32596667,78.00721500,0.00000000,
6.838542,-0.6058,0.7583,-0.0293,30.32596667,78.00721500,0.00000000,
6.840653,-0.6058,0.7603,-0.0468,30.32596667,78.00721500,0.00000000,
6.878689,-0.6039,0.7544,-0.0664,30.32596667,78.00721500,0.00000000,
6.880769,-0.6019,0.7505,-0.0742,30.32596667,78.00721500,0.00000000,
6.918567,-0.5981,0.7465,-0.0938,30.32596667,78.00721500,0.00000000,
6.920920,-0.5981,0.7388,-0.1113,30.32596667,78.00721500,0.00000000,
