
time,gFx,gFy,gFz,Latitude,Longitude,Speed (m/s),Pico
1063.212574,0.8462,-0.2169,0.3596,30.34456000,78.12847500,3.50422883,
1063.249701,0.8482,-0.2110,0.3635,30.34456000,78.12847500,3.50422883,
1063.251805,0.8521,-0.2033,0.3635,30.34456000,78.12847500,3.50422883,
1063.290487,0.8521,-0.1876,0.3635,30.34456000,78.12847500,3.50422883,
1063.292613,0.8560,-0.1700,0.3635,30.34456000,78.12847500,3.50422883,
1063.330319,0.8619,-0.1544,0.3674,30.34456000,78.12847500,3.50422883,
1063.334696,0.8678,-0.1465,0.3713,30.34456000,78.12847500,3.50422883,
1063.370182,0.8697,-0.1407,0.3733,30.34456000,78.12847500,3.50422883,
1063.372533,0.8678,-0.1446,0.3733,30.34456000,78.12847500,3.50422883,
1063.410255,0.8678,-0.1563,0.3752,30.34456000,78.12847500,3.50422883,
1063.412721,0.8619,-0.1700,0.3791,30.34456000,78.12847500,3.50422883,
1063.451872,0.8541,-0.1856,0.3771,30.34456000,78.12847500,3.50422883,
1063.453808,0.8482,-0.2012,0.3733,30.34456000,78.12847500,3.50422883,
1063.490857,0.8462,-0.2110,0.3713,30.34456000,78.12847500,3.50422883,
1063.494000,0.8482,-0.2149,0.3713,30.34456000,78.12847500,3.50422883,
1063.530625,0.8541,-0.2091,0.3713,30.34456000,78.12847500,3.50422883,
1063.533348,0.8658,-0.1973,0.3733,30.34456000,78.12847500,3.50422883,
1063.570327,0.8814,-0.1817,0.3752,30.34456000,78.12847500,3.50422883,
1063.572255,0.9068,-0.1621,0.3791,30.34456000,78.12847500,3.50422883,
1063.612018,0.9303,-0.1270,0.3850,30.34456000,78.12847500,3.50422883,
1063.614380,0.9322,-0.1055,0.3889,30.34456000,78.12847500,3.50422883,
1063.650355,0.9244,-0.0742,0.3908,30.34456000,78.12847500,3.50422883,
1063.652353,0.9128,-0.0508,0.3889,30.34456000,78.12847500,3.50422883,
1063.688660,0.8970,-0.0449,0.3869,30.34456000,78.12847500,3.50422883,
1063.690304,0.8697,-0.0508,0.3869,30.34461667,78.12851333,3.79865003,
1063.728837,0.8482,-0.0742,0.3850,30.34461667,78.12851333,3.79865003,
1063.730623,0.8423,-0.0938,0.3831,30.34461667,78.12851333,3.79865003,
1063.769272,0.8462,-0.1290,0.3791,30.34461667,78.12851333,3.79865003,
1063.771279,0.8541,-0.1681,0.3752,30.34461667,78.12851333,3.79865003,
1063.809176,0.8678,-0.1876,0.3733,30.34461667,78.12851333,3.79865003,
1063.810957,0.8932,-0.2052,0.3733,30.34461667,78.12851333,3.79865003,
1063.849072,0.9030,-0.2149,0.3733,30.34461667,78.12851333,3.79865003,
1063.850924,0.9088,-0.2110,0.3713,30.34461667,78.12851333,3.79865003,
1063.888796,0.9088,-0.2012,0.3713,30.34461667,78.12851333,3.79865003,
1063.890796,0.9147,-0.1856,0.3752,30.34461667,78.12851333,3.79865003,
1063.928850,0.9128,-0.1758,0.3811,30.34461667,78.12851333,3.79865003,
1063.930894,0.8951,-0.1583,0.3831,30.34461667,78.12851333,3.79865003,
1063.969550,0.8912,-0.1427,0.3811,30.34461667,78.12851333,3.79865003,
1063.971806,0.8932,-0.1290,0.3831,30.34461667,78.12851333,3.79865003,
1064.009551,0.9128,-0.1192,0.3831,30.34461667,78.12851333,3.79865003,
1064.012749,0.9147,-0.1133,0.3811,30.34461667,78.12851333,3.79865003,
1064.049943,0.9128,-0.0899,0.3752,30.34461667,78.12851333,3.79865003,
1064.052336,0.9010,-0.0664,0.3674,30.34461667,78.12851333,3.79865003,
1064.090361,0.8893,-0.0468,0.3577,30.34461667,78.12851333,3.79865003,
1064.092791,0.8853,-0.0332,0.3517,30.34461667,78.12851333,3.79865003,
1064.129926,0.8853,-0.0176,0.3517,30.34461667,78.12851333,3.79865003,
1064.132906,0.8776,0.0000,0.3498,30.34461667,78.12851333,3.79865003,
1064.169401,0.8716,0.0000,0.3459,30.34461667,78.12851333,3.79865003,
1064.171685,0.8697,0.0000,0.3440,30.34461667,78.12851333,3.79865003,
1064.209745,0.8776,0.0000,0.3498,30.34461667,78.12851333,3.79865003,
1064.212343,0.8990,-0.0116,0.3635,30.34461667,78.12851333,3.79865003,
1064.249197,0.8990,-0.0116,0.3831,30.34461667,78.12851333,3.79865003,
1064.251670,0.9205,-0.0116,0.4065,30.34461667,78.12851333,3.79865003,
1064.289320,0.9284,-0.0116,0.4299,30.34461667,78.12851333,3.79865003,
1064.291602,0.9361,-0.0116,0.4495,30.34461667,78.12851333,3.79865003,
1064.329060,0.9401,-0.0116,0.4651,30.34461667,78.12851333,3.79865003,
1064.331401,0.9401,0.0000,0.4749,30.34461667,78.12851333,3.79865003,
1064.369278,0.9401,-0.0137,0.4749,30.34461667,78.12851333,3.79865003,
1064.371860,0.9401,-0.0312,0.4632,30.34461667,78.12851333,3.79865003,
1064.409417,0.9459,-0.0508,0.4456,30.34461667,78.12851333,3.79865003,
1064.412752,0.9498,-0.0722,0.4280,30.34461667,78.12851333,3.79865003,
1064.449271,0.9674,-0.0977,0.4085,30.34461667,78.12851333,3.79865003,
1064.452584,0.9674,-0.1250,0.3908,30.34461667,78.12851333,3.79865003,
1064.489492,0.9674,-0.1367,0.3771,30.34461667,78.12851333,3.79865003,
1064.492524,0.9674,-0.1427,0.3713,30.34461667,78.12851333,3.79865003,
1064.525759,0.9655,-0.1427,0.3674,30.34461667,78.12851333,3.79865003,
1064.528805,0.9655,-0.1407,0.3713,30.34461667,78.12851333,3.79865003,
1064.548530,0.9459,-0.1290,0.3733,30.34461667,78.12851333,3.79865003,
1064.550828,0.9244,-0.1153,0.3752,30.34461667,78.12851333,3.79865003,
1064.587856,0.9010,-0.1036,0.3752,30.34461667,78.12851333,3.79865003,
1064.589021,0.8736,-0.0801,0.3752,30.34461667,78.12851333,3.79865003,
1064.627587,0.8599,-0.0742,0.3771,30.34461667,78.12851333,3.79865003,
1064.628697,0.8443,-0.0762,0.3752,30.34461667,78.12851333,3.79865003,
1064.667703,0.8345,-0.0801,0.3713,30.34461667,78.12851333,3.79865003,
1064.669481,0.8248,-0.0879,0.3654,30.34461667,78.12851333,3.79865003,
1064.706951,0.8208,-0.0938,0.3557,30.34461667,78.12851333,3.79865003,
1064.708387,0.8248,-0.1172,0.3459,30.34465167,78.12853500,4.32572556,
1064.747067,0.8345,-0.1172,0.3400,30.34465167,78.12853500,4.32572556,
1064.748154,0.8521,-0.1192,0.3420,30.34465167,78.12853500,4.32572556,
1064.789015,0.8697,-0.1192,0.3459,30.34465167,78.12853500,4.32572556,
1064.791305,0.8853,-0.1153,0.3498,30.34465167,78.12853500,4.32572556,
1064.830654,0.8970,-0.0957,0.3577,30.34465167,78.12853500,4.32572556,
1064.832677,0.8951,-0.0722,0.3635,30.34465167,78.12853500,4.32572556,
1064.867649,0.8951,-0.0586,0.3654,30.34465167,78.12853500,4.32572556,
1064.869293,0.8951,-0.0351,0.3694,30.34465167,78.12853500,4.32572556,
1064.907182,0.8912,-0.0156,0.3733,30.34465167,78.12853500,4.32572556,
1064.908423,0.8873,0.0000,0.3713,30.34465167,78.12853500,4.32572556,
1064.947579,0.8873,0.0000,0.3694,30.34465167,78.12853500,4.32572556,
1064.949816,0.8932,0.0000,0.3733,30.34465167,78.12853500,4.32572556,
1064.987504,0.8912,0.0000,0.3791,30.34465167,78.12853500,4.32572556,
1064.990008,0.9068,0.0000,0.3811,30.34465167,78.12853500,4.32572556,
1065.028188,0.9244,0.0000,0.3869,30.34465167,78.12853500,4.32572556,
1065.030573,0.9166,0.0000,0.3908,30.34465167,78.12853500,4.32572556,
1065.067611,0.9049,0.0000,0.3889,30.34465167,78.12853500,4.32572556,
1065.069056,0.8970,0.0000,0.3811,30.34465167,78.12853500,4.32572556,
1065.108298,0.8912,0.0000,0.3831,30.34465167,78.12853500,4.32572556,
1065.110759,0.8716,0.0000,0.3811,30.34465167,78.12853500,4.32572556,
1065.148500,0.8541,0.0000,0.3733,30.34465167,78.12853500,4.32572556,
1065.152280,0.8619,0.0000,0.3694,30.34465167,78.12853500,4.32572556,
1065.187208,0.8716,0.0000,0.3713,30.34465167,78.12853500,4.32572556,
1065.188956,0.8834,0.0000,0.3733,30.34465167,78.12853500,4.32572556,
1065.227695,0.8970,0.0000,0.3674,30.34465167,78.12853500,4.32572556,
1065.230133,0.9166,0.0000,0.3694,30.34465167,78.12853500,4.32572556,
1065.268971,0.9342,0.0000,0.3694,30.34465167,78.12853500,4.32572556,
1065.271891,0.9518,0.0000,0.3674,30.34465167,78.12853500,4.32572556,
1065.307043,0.9694,0.0000,0.3635,30.34465167,78.12853500,4.32572556,
1065.308996,0.9713,0.0000,0.3615,30.34465167,78.12853500,4.32572556,
1065.347156,0.9636,0.0000,0.3537,30.34465167,78.12853500,4.32572556,
1065.348873,0.9420,0.0000,0.3420,30.34465167,78.12853500,4.32572556,
1065.385939,0.9147,-0.0195,0.3322,30.34465167,78.12853500,4.32572556,
1065.387162,0.8697,-0.0488,0.3165,30.34465167,78.12853500,4.32572556,
1065.427079,0.8013,-0.0801,0.2990,30.34465167,78.12853500,4.32572556,
1065.429194,0.7505,-0.1094,0.2892,30.34465167,78.12853500,4.32572556,
1065.467688,0.7251,-0.1329,0.2853,30.34465167,78.12853500,4.32572556,
1065.470403,0.7114,-0.1329,0.2853,30.34465167,78.12853500,4.32572556,
1065.507246,0.7232,-0.1133,0.2911,30.34465167,78.12853500,4.32572556,
1065.509639,0.7681,-0.0820,0.3263,30.34465167,78.12853500,4.32572556,
1065.546494,0.8365,-0.0312,0.3713,30.34465167,78.12853500,4.32572556,
1065.548847,0.9244,0.0332,0.4104,30.34465167,78.12853500,4.32572556,
1065.585655,0.9929,0.0996,0.4397,30.34465167,78.12853500,4.32572556,
1065.587364,1.0281,0.1485,0.4534,30.34465167,78.12853500,4.32572556,
1065.625408,1.0183,0.1973,0.4553,30.34465167,78.12853500,4.32572556,
1065.627074,0.9694,0.2403,0.4339,30.34468667,78.12856333,4.56352711,
1065.665651,0.8873,0.2599,0.3908,30.34468667,78.12856333,4.56352711,
1065.667423,0.7622,0.2501,0.3244,30.34468667,78.12856333,4.56352711,
1065.707293,0.6410,0.2287,0.2599,30.34468667,78.12856333,4.56352711,
1065.709470,0.5687,0.1798,0.2189,30.34468667,78.12856333,4.56352711,
1065.746819,0.5394,0.1329,0.1973,30.34468667,78.12856333,4.56352711,
1065.749670,0.5492,0.0899,0.1856,30.34468667,78.12856333,4.56352711,
1065.785841,0.5961,0.0468,0.1915,30.34468667,78.12856333,4.56352711,
1065.787918,0.6762,0.0214,0.2266,30.34468667,78.12856333,4.56352711,
1065.825201,0.7583,0.0000,0.2795,30.34468667,78.12856333,4.56352711,
1065.827435,0.8326,0.0000,0.3263,30.34468667,78.12856333,4.56352711,
1065.865290,0.9010,0.0000,0.3733,30.34468667,78.12856333,4.56352711,
1065.866989,0.9420,0.0000,0.4104,30.34468667,78.12856333,4.56352711,
1065.905780,0.9772,0.0214,0.4416,30.34468667,78.12856333,4.56352711,
1065.908196,1.0027,0.0449,0.4632,30.34468667,78.12856333,4.56352711,
1065.947049,1.0300,0.0684,0.4788,30.34468667,78.12856333,4.56352711,
1065.950226,1.0515,0.0859,0.4828,30.34468667,78.12856333,4.56352711,
1065.986401,1.0535,0.0859,0.4710,30.34468667,78.12856333,4.56352711,
1065.988484,1.0554,0.0996,0.4573,30.34468667,78.12856333,4.56352711,
1066.026596,1.0319,0.1055,0.4397,30.34468667,78.12856333,4.56352711,
1066.028886,1.0027,0.1055,0.4123,30.34468667,78.12856333,4.56352711,
1066.067278,0.9577,0.1113,0.3811,30.34468667,78.12856333,4.56352711,
1066.069390,0.9010,0.1113,0.3557,30.34468667,78.12856333,4.56352711,
1066.106751,0.8443,0.1290,0.3342,30.34468667,78.12856333,4.56352711,
1066.109349,0.8033,0.1309,0.3186,30.34468667,78.12856333,4.56352711,
1066.146279,0.7817,0.1211,0.3107,30.34468667,78.12856333,4.56352711,
1066.149089,0.7719,0.0957,0.3088,30.34468667,78.12856333,4.56352711,
1066.185696,0.7719,0.0684,0.3088,30.34468667,78.12856333,4.56352711,
1066.188569,0.7817,0.0488,0.3146,30.34468667,78.12856333,4.56352711,
1066.226081,0.7935,0.0332,0.3263,30.34468667,78.12856333,4.56352711,
1066.228057,0.8052,0.0156,0.3342,30.34468667,78.12856333,4.56352711,
1066.265957,0.8287,0.0000,0.3420,30.34468667,78.12856333,4.56352711,
1066.268177,0.8697,0.0000,0.3577,30.34468667,78.12856333,4.56352711,
1066.306934,0.8990,0.0000,0.3771,30.34468667,78.12856333,4.56352711,
1066.309155,0.9244,0.0000,0.3889,30.34468667,78.12856333,4.56352711,
1066.346091,0.9694,0.0000,0.4065,30.34468667,78.12856333,4.56352711,
1066.348154,1.0144,0.0000,0.4299,30.34468667,78.12856333,4.56352711,
1066.386381,1.0339,0.0000,0.4476,30.34468667,78.12856333,4.56352711,
1066.389605,1.0339,0.0137,0.4495,30.34468667,78.12856333,4.56352711,
1066.427020,1.0339,0.0137,0.4476,30.34468667,78.12856333,4.56352711,
1066.430692,1.0339,0.0137,0.4437,30.34468667,78.12856333,4.56352711,
1066.466201,1.0163,0.0293,0.4280,30.34468667,78.12856333,4.56352711,
1066.469134,1.0007,0.0488,0.4123,30.34468667,78.12856333,4.56352711,
1066.506497,0.9694,0.0488,0.3948,30.34468667,78.12856333,4.56352711,
1066.510199,0.9244,0.0351,0.3752,30.34468667,78.12856333,4.56352711,
1066.546591,0.8834,0.0508,0.3577,30.34468667,78.12856333,4.56352711,
1066.550495,0.8443,0.0664,0.3479,30.34468667,78.12856333,4.56352711,
1066.584934,0.8033,0.0488,0.3420,30.34468667,78.12856333,4.56352711,
1066.586669,0.7603,0.0312,0.3283,30.34468667,78.12856333,4.56352711,
1066.624830,0.7563,0.0312,0.3224,30.34468667,78.12856333,4.56352711,
1066.627104,0.7700,0.0312,0.3342,30.34471500,78.12858667,3.78835559,
1066.665348,0.7759,0.0137,0.3420,30.34471500,78.12858667,3.78835559,
1066.667871,0.7935,0.0000,0.3440,30.34471500,78.12858667,3.78835559,
1066.704558,0.8150,0.0000,0.3479,30.34471500,78.12858667,3.78835559,
1066.706034,0.8404,0.0000,0.3577,30.34471500,78.12858667,3.78835559,
1066.744734,0.8756,0.0000,0.3674,30.34471500,78.12858667,3.78835559,
1066.746694,0.9088,0.0000,0.3752,30.34471500,78.12858667,3.78835559,
